SensorDataId,ClientId,WorkState,AlarmState,Time,EW,Longitude,NS,Latitude,MagnetometerZ,BatteryVoltage,BatteryCurrent,BatteryLevel,SolarEnergyVoltage,SolarEnergyCurrent,ShipHeadDir,WindSpeed,WindPwr,WindDir,FlowSpeed,Visibility
316442,1905030001,5,0,2021/4/14 9:54,E,120.805418,N,31.99902,44,26.04,0,0,26.11,0,0,3.1,2,3,0.4584,10000
316439,1905030001,5,0,2021/4/14 9:48,E,120.805407,N,31.999006,43,26.06,0,0,26.1,0,231,4.1,3,3,0.6088,10000
316435,1905030001,1,0,2021/4/14 9:43,E,120.805406,N,31.999001,44,26.04,0,0,26.1,0,241,4.6,3,3,0.4944,10000
316431,1905030001,5,0,2021/4/14 9:37,E,120.805411,N,31.999012,45,26.04,0,0,26.11,0,182,4.5,3,3,0.508,10000
316427,1905030001,1,0,2021/4/14 9:31,E,120.805403,N,31.998996,43,26.04,0,0,26.08,0,146,4,3,3,0.5568,10000
316422,1905030001,1,0,2021/4/14 9:25,E,120.805409,N,31.999009,44,26.03,0,0,26.1,0,65,3.5,3,3,0.528,10000
316419,1905030001,5,0,2021/4/14 9:20,E,120.805407,N,31.999009,44,26.04,0,0,26.08,0,268,2.5,2,3,0.4368,10000
316415,1905030001,1,0,2021/4/14 9:14,E,120.805405,N,31.999004,45,26.06,0,0,26.08,0,214,3.7,3,3,0.4888,10000
316411,1905030001,5,0,2021/4/14 9:08,E,120.805409,N,31.999003,44,26.06,0,0,26.1,0,244,2.9,2,3,0.4296,10000
316407,1905030001,1,0,2021/4/14 9:02,E,120.805404,N,31.999002,44,26.04,0,0,26.1,0,44,4,3,3,0.4832,10000
316403,1905030001,1,0,2021/4/14 8:57,E,120.805399,N,31.998984,43,26.06,0,0,26.1,0,239,3.7,3,3,0.5424,10000
316399,1905030001,1,0,2021/4/14 8:51,E,120.805397,N,31.998992,43,26.06,0,0,26.1,0,296,4,3,3,0.5336,10000
316395,1905030001,1,0,2021/4/14 8:45,E,120.805393,N,31.998991,45,26.04,0,0,26.1,0,360,3.6,3,3,0.46,10000
316391,1905030001,1,0,2021/4/14 8:40,E,120.80539,N,31.998976,43,26.06,0,0,26.08,0,317,4.2,3,2,0.5688,10000
316387,1905030001,1,0,2021/4/14 8:34,E,120.8054,N,31.999001,43,26.04,0,0,26.1,0,352,3.5,3,2,0.6,10000
